mode: set
go-backend/store/json/factory.go:11.78,13.9 2 1
go-backend/store/json/factory.go:13.9,15.3 1 1
go-backend/store/json/factory.go:17.2,17.27 1 1
go-backend/store/json/factory.go:21.48,23.2 1 1
go-backend/store/json/factory.go:26.13,28.2 1 1
go-backend/store/json/store.go:21.48,27.66 2 1
go-backend/store/json/store.go:27.66,29.3 1 0
go-backend/store/json/store.go:31.2,31.19 1 1
go-backend/store/json/store.go:35.66,42.55 4 1
go-backend/store/json/store.go:42.55,45.3 1 1
go-backend/store/json/store.go:48.2,49.16 2 1
go-backend/store/json/store.go:49.16,51.3 1 0
go-backend/store/json/store.go:54.2,54.24 1 1
go-backend/store/json/store.go:54.24,56.3 1 1
go-backend/store/json/store.go:59.2,59.56 1 1
go-backend/store/json/store.go:59.56,61.3 1 1
go-backend/store/json/store.go:63.2,63.18 1 1
go-backend/store/json/store.go:67.69,73.16 4 1
go-backend/store/json/store.go:73.16,75.3 1 0
go-backend/store/json/store.go:78.2,79.63 2 1
go-backend/store/json/store.go:79.63,81.3 1 0
go-backend/store/json/store.go:84.2,84.56 1 1
go-backend/store/json/store.go:84.56,88.3 2 0
go-backend/store/json/store.go:90.2,90.12 1 1
go-backend/store/json/store.go:94.51,98.2 2 1
go-backend/store/json/store.go:101.31,104.2 1 1
go-backend/service/health_service.go:14.63,16.2 1 1
go-backend/service/health_service.go:19.62,21.2 1 1
go-backend/service/health_service.go:24.62,26.2 1 1
go-backend/service/health_service.go:29.60,31.2 1 1
go-backend/service/task_service.go:20.108,25.2 1 1
go-backend/service/task_service.go:28.71,30.16 2 1
go-backend/service/task_service.go:30.16,32.3 1 0
go-backend/service/task_service.go:34.2,35.29 2 1
go-backend/service/task_service.go:35.29,36.25 1 1
go-backend/service/task_service.go:36.25,38.4 1 1
go-backend/service/task_service.go:40.2,40.19 1 1
go-backend/service/task_service.go:43.60,45.2 1 1
go-backend/service/task_service.go:49.90,52.18 3 1
go-backend/service/task_service.go:52.18,54.3 1 1
go-backend/service/task_service.go:54.8,56.22 2 1
go-backend/service/task_service.go:56.22,58.4 1 1
go-backend/service/task_service.go:59.3,59.35 1 1
go-backend/service/task_service.go:61.2,61.16 1 1
go-backend/service/task_service.go:61.16,63.3 1 0
go-backend/service/task_service.go:64.2,64.18 1 1
go-backend/service/task_service.go:64.18,66.3 1 1
go-backend/service/task_service.go:67.2,68.26 2 1
go-backend/service/task_service.go:68.26,69.25 1 1
go-backend/service/task_service.go:69.25,71.4 1 1
go-backend/service/task_service.go:73.2,73.22 1 1
go-backend/service/task_service.go:76.89,78.71 1 1
go-backend/service/task_service.go:78.71,80.3 1 1
go-backend/service/task_service.go:83.2,84.14 2 1
go-backend/service/task_service.go:84.14,86.3 1 1
go-backend/service/task_service.go:88.2,89.35 2 1
go-backend/service/task_service.go:92.65,94.16 2 1
go-backend/service/task_service.go:94.16,96.3 1 0
go-backend/service/task_service.go:97.2,97.14 1 1
go-backend/service/task_service.go:97.14,99.3 1 1
go-backend/service/task_service.go:100.2,100.15 1 1
go-backend/service/task_service.go:103.99,105.77 1 1
go-backend/service/task_service.go:105.77,107.3 1 0
go-backend/service/task_service.go:110.2,110.19 1 1
go-backend/service/task_service.go:110.19,112.15 2 1
go-backend/service/task_service.go:112.15,114.4 1 1
go-backend/service/task_service.go:117.2,118.18 2 1
go-backend/service/task_service.go:118.18,120.3 1 1
go-backend/service/task_service.go:121.2,121.19 1 1
go-backend/service/task_service.go:121.19,123.3 1 1
go-backend/service/task_service.go:124.2,124.19 1 1
go-backend/service/task_service.go:124.19,126.3 1 0
go-backend/service/task_service.go:127.2,127.39 1 1
go-backend/service/user_service.go:18.67,22.2 1 1
go-backend/service/user_service.go:25.59,27.2 1 1
go-backend/service/user_service.go:30.83,33.67 1 1
go-backend/service/user_service.go:33.67,35.3 1 1
go-backend/service/user_service.go:38.2,39.16 2 1
go-backend/service/user_service.go:39.16,41.3 1 0
go-backend/service/user_service.go:43.2,43.45 1 1
go-backend/service/user_service.go:43.45,44.49 1 1
go-backend/service/user_service.go:44.49,46.4 1 1
go-backend/service/user_service.go:47.3,47.51 1 1
go-backend/service/user_service.go:47.51,49.4 1 1
go-backend/service/user_service.go:52.2,58.43 2 1
go-backend/service/user_service.go:62.66,65.16 2 1
go-backend/service/user_service.go:65.16,67.3 1 0
go-backend/service/user_service.go:69.2,69.17 1 1
go-backend/service/user_service.go:69.17,71.3 1 1
go-backend/service/user_service.go:73.2,73.18 1 1
go-backend/store/builder.go:13.44,17.2 1 1
go-backend/store/builder.go:20.50,23.2 2 1
go-backend/store/builder.go:26.54,29.2 2 1
go-backend/store/builder.go:32.71,35.2 2 1
go-backend/store/builder.go:38.42,40.2 1 1
go-backend/store/builder.go:43.62,46.17 2 1
go-backend/store/builder.go:47.14,48.24 1 1
go-backend/store/builder.go:49.16,50.22 1 0
go-backend/store/builder.go:51.10,52.61 1 1
go-backend/store/builder.go:55.2,58.33 2 1
go-backend/store/builder.go:58.33,59.14 1 1
go-backend/store/builder.go:60.15,61.46 1 1
go-backend/store/builder.go:62.13,63.50 1 0
go-backend/store/builder.go:64.11,65.45 1 0
go-backend/store/builder.go:69.2,69.24 1 1
go-backend/store/generic.go:23.57,25.2 1 1
go-backend/store/generic.go:28.53,30.13 2 1
go-backend/store/generic.go:30.13,32.3 1 1
go-backend/store/generic.go:34.2,34.36 1 1
go-backend/store/generic.go:38.55,43.2 1 1
go-backend/store/models.go:18.27,23.2 1 1
go-backend/store/models.go:26.34,39.2 5 1
go-backend/store/models.go:42.33,44.2 1 1
go-backend/store/models.go:47.50,48.31 1 1
go-backend/store/models.go:48.31,49.20 1 1
go-backend/store/models.go:49.20,51.4 1 1
go-backend/store/models.go:53.2,53.12 1 1
go-backend/store/models.go:57.50,58.31 1 1
go-backend/store/models.go:58.31,59.20 1 1
go-backend/store/models.go:59.20,61.4 1 1
go-backend/store/models.go:63.2,63.12 1 1
go-backend/store/models.go:67.44,69.2 1 1
go-backend/store/models.go:72.44,74.2 1 1
go-backend/store/models.go:77.60,78.35 1 1
go-backend/store/models.go:78.35,79.24 1 1
go-backend/store/models.go:79.24,82.4 2 1
go-backend/store/models.go:84.2,84.14 1 1
go-backend/store/models.go:88.60,89.35 1 1
go-backend/store/models.go:89.35,90.24 1 1
go-backend/store/models.go:90.24,93.4 2 1
go-backend/store/models.go:95.2,95.14 1 1
go-backend/store/models.go:99.43,100.31 1 1
go-backend/store/models.go:100.31,101.20 1 1
go-backend/store/models.go:101.20,104.4 2 1
go-backend/store/models.go:106.2,106.14 1 1
go-backend/store/models.go:110.43,111.31 1 1
go-backend/store/models.go:111.31,112.20 1 1
go-backend/store/models.go:112.20,115.4 2 1
go-backend/store/models.go:117.2,117.14 1 1
go-backend/validation/validator.go:27.57,28.27 1 1
go-backend/validation/validator.go:29.14,30.33 1 1
go-backend/validation/validator.go:30.33,32.4 1 1
go-backend/validation/validator.go:33.15,34.46 1 1
go-backend/validation/validator.go:34.46,36.4 1 1
go-backend/validation/validator.go:37.11,38.13 1 1
go-backend/validation/validator.go:38.13,40.4 1 1
go-backend/validation/validator.go:41.12,42.26 1 1
go-backend/validation/validator.go:42.26,44.4 1 1
go-backend/validation/validator.go:45.10,46.15 1 0
go-backend/validation/validator.go:46.15,48.4 1 0
go-backend/validation/validator.go:50.2,50.12 1 1
go-backend/validation/validator.go:58.58,60.27 2 1
go-backend/validation/validator.go:61.14,62.10 1 1
go-backend/validation/validator.go:63.15,64.15 1 1
go-backend/validation/validator.go:64.15,66.4 1 1
go-backend/validation/validator.go:67.10,68.13 1 0
go-backend/validation/validator.go:71.2,71.28 1 1
go-backend/validation/validator.go:71.28,76.3 1 1
go-backend/validation/validator.go:77.2,77.12 1 1
go-backend/validation/validator.go:83.54,85.27 2 1
go-backend/validation/validator.go:86.14,87.10 1 1
go-backend/validation/validator.go:88.15,89.15 1 0
go-backend/validation/validator.go:89.15,91.4 1 0
go-backend/validation/validator.go:92.10,93.13 1 0
go-backend/validation/validator.go:96.2,96.15 1 1
go-backend/validation/validator.go:96.15,98.3 1 1
go-backend/validation/validator.go:100.2,101.34 2 1
go-backend/validation/validator.go:101.34,103.3 1 1
go-backend/validation/validator.go:104.2,104.12 1 1
go-backend/validation/validator.go:112.53,114.27 2 1
go-backend/validation/validator.go:115.14,116.10 1 1
go-backend/validation/validator.go:117.15,118.15 1 0
go-backend/validation/validator.go:118.15,120.4 1 0
go-backend/validation/validator.go:121.10,122.13 1 0
go-backend/validation/validator.go:125.2,125.15 1 1
go-backend/validation/validator.go:125.15,127.3 1 1
go-backend/validation/validator.go:129.2,129.42 1 1
go-backend/validation/validator.go:129.42,130.21 1 1
go-backend/validation/validator.go:130.21,132.4 1 1
go-backend/validation/validator.go:135.2,138.3 1 1
go-backend/validation/validator.go:147.32,151.2 1 1
go-backend/validation/validator.go:154.103,161.2 2 1
go-backend/validation/validator.go:164.38,167.33 2 1
go-backend/validation/validator.go:167.33,168.36 1 1
go-backend/validation/validator.go:168.36,169.53 1 1
go-backend/validation/validator.go:169.53,171.5 1 1
go-backend/validation/validator.go:175.2,175.31 1 1
go-backend/validation/validator.go:175.31,177.3 1 1
go-backend/validation/validator.go:179.2,179.12 1 1
go-backend/validation/validator.go:183.51,202.2 5 1
go-backend/validation/validator.go:205.59,223.2 5 1
go-backend/validation/validator.go:226.67,229.18 2 1
go-backend/validation/validator.go:229.18,233.3 1 1
go-backend/validation/validator.go:235.2,235.19 1 1
go-backend/validation/validator.go:235.19,239.3 1 1
go-backend/validation/validator.go:241.2,241.19 1 1
go-backend/validation/validator.go:241.19,245.3 1 1
go-backend/validation/validator.go:247.2,247.29 1 1
go-backend/validation/validator.go:251.44,252.17 1 1
go-backend/validation/validator.go:252.17,254.3 1 1
go-backend/validation/validator.go:256.2,257.16 2 1
go-backend/validation/validator.go:257.16,259.3 1 1
go-backend/validation/validator.go:261.2,261.13 1 1
go-backend/validation/validator.go:261.13,263.3 1 1
go-backend/validation/validator.go:265.2,265.16 1 1
go-backend/handler/health_handler.go:17.76,19.2 1 1
go-backend/handler/health_handler.go:22.72,23.32 1 1
go-backend/handler/health_handler.go:23.32,26.3 2 1
go-backend/handler/health_handler.go:28.2,29.71 2 1
go-backend/handler/health_handler.go:33.71,34.32 1 1
go-backend/handler/health_handler.go:34.32,37.3 2 1
go-backend/handler/health_handler.go:39.2,41.19 3 1
go-backend/handler/health_handler.go:41.19,43.3 1 1
go-backend/handler/health_handler.go:45.2,45.62 1 1
go-backend/handler/health_handler.go:49.70,50.32 1 1
go-backend/handler/health_handler.go:50.32,53.3 2 1
go-backend/handler/health_handler.go:55.2,56.71 2 1
go-backend/handler/task_handler.go:21.64,23.2 1 1
go-backend/handler/task_handler.go:25.75,26.18 1 1
go-backend/handler/task_handler.go:27.22,28.21 1 1
go-backend/handler/task_handler.go:29.23,30.23 1 1
go-backend/handler/task_handler.go:31.10,32.93 1 1
go-backend/handler/task_handler.go:36.74,40.16 4 1
go-backend/handler/task_handler.go:40.16,43.3 2 1
go-backend/handler/task_handler.go:44.2,44.117 1 1
go-backend/handler/task_handler.go:47.76,49.61 2 1
go-backend/handler/task_handler.go:49.61,52.3 2 0
go-backend/handler/task_handler.go:53.2,54.16 2 1
go-backend/handler/task_handler.go:54.16,55.54 1 1
go-backend/handler/task_handler.go:55.54,58.4 2 1
go-backend/handler/task_handler.go:59.3,59.56 1 1
go-backend/handler/task_handler.go:59.56,62.4 2 1
go-backend/handler/task_handler.go:63.3,64.9 2 1
go-backend/handler/task_handler.go:66.2,66.74 1 1
go-backend/handler/task_handler.go:69.78,70.18 1 1
go-backend/handler/task_handler.go:71.22,72.24 1 1
go-backend/handler/task_handler.go:73.40,74.23 1 1
go-backend/handler/task_handler.go:75.10,76.93 1 1
go-backend/handler/task_handler.go:80.77,83.16 3 1
go-backend/handler/task_handler.go:83.16,86.3 2 0
go-backend/handler/task_handler.go:87.2,88.16 2 1
go-backend/handler/task_handler.go:88.16,91.3 2 1
go-backend/handler/task_handler.go:92.2,92.17 1 1
go-backend/handler/task_handler.go:92.17,95.3 2 0
go-backend/handler/task_handler.go:96.2,96.69 1 1
go-backend/handler/task_handler.go:99.76,101.16 2 1
go-backend/handler/task_handler.go:101.16,104.3 2 0
go-backend/handler/task_handler.go:105.2,106.61 2 1
go-backend/handler/task_handler.go:106.61,109.3 2 0
go-backend/handler/task_handler.go:110.2,111.16 2 1
go-backend/handler/task_handler.go:111.16,112.54 1 1
go-backend/handler/task_handler.go:112.54,115.4 2 1
go-backend/handler/task_handler.go:116.3,117.9 2 1
go-backend/handler/task_handler.go:119.2,119.69 1 1
go-backend/handler/user_handler.go:22.102,27.2 1 1
go-backend/handler/user_handler.go:30.69,31.18 1 1
go-backend/handler/user_handler.go:32.22,33.20 1 1
go-backend/handler/user_handler.go:34.23,35.21 1 1
go-backend/handler/user_handler.go:36.10,37.93 1 1
go-backend/handler/user_handler.go:41.73,43.16 2 1
go-backend/handler/user_handler.go:43.16,46.3 2 1
go-backend/handler/user_handler.go:47.2,50.5 1 1
go-backend/handler/user_handler.go:53.74,55.61 2 1
go-backend/handler/user_handler.go:55.61,58.3 2 1
go-backend/handler/user_handler.go:60.2,61.16 2 1
go-backend/handler/user_handler.go:61.16,62.108 1 1
go-backend/handler/user_handler.go:62.108,65.4 2 1
go-backend/handler/user_handler.go:66.3,67.9 2 1
go-backend/handler/user_handler.go:70.2,70.74 1 1
go-backend/handler/user_handler.go:74.69,75.32 1 1
go-backend/handler/user_handler.go:75.32,78.3 2 0
go-backend/handler/user_handler.go:80.2,81.16 2 1
go-backend/handler/user_handler.go:81.16,84.3 2 1
go-backend/handler/user_handler.go:86.2,87.16 2 1
go-backend/handler/user_handler.go:87.16,90.3 2 1
go-backend/handler/user_handler.go:92.2,96.29 4 1
go-backend/handler/user_handler.go:96.29,97.22 1 1
go-backend/handler/user_handler.go:98.18,99.25 1 1
go-backend/handler/user_handler.go:100.22,101.28 1 0
go-backend/handler/user_handler.go:102.20,103.27 1 1
go-backend/handler/user_handler.go:107.2,107.70 1 1
go-backend/handler/user_handler.go:111.72,112.32 1 1
go-backend/handler/user_handler.go:112.32,115.3 2 1
go-backend/handler/user_handler.go:117.2,118.16 2 1
go-backend/handler/user_handler.go:118.16,121.3 2 1
go-backend/handler/user_handler.go:123.2,124.16 2 1
go-backend/handler/user_handler.go:124.16,125.54 1 1
go-backend/handler/user_handler.go:125.54,128.4 2 1
